sort;fill;n;T(n)
QS;SS;80000; 5.53214
QS;SS;90000; 7.8148
QS;US;10000; 0.680279
QS;US;20000; 2.69521
QS;US;30000; 6.1346
QS;US;40000; 10.918
QS;US;50000; 16.9799
QS;US;60000; 24.508
QS;US;70000; 33.3472
QS;US;80000; 43.7803
QS;US;90000; 55.2487
QS;RS;10000; 0.0027675
QS;RS;20000; 0.0052655
QS;RS;30000; 0.0092608
QS;RS;40000; 0.0126572
QS;RS;50000; 0.0153747
QS;RS;60000; 0.020549
QS;RS;70000; 0.0222132
QS;RS;80000; 0.0292653
QS;RS;90000; 0.0299546
HS;S;10000; 0.0054004
HS;S;20000; 0.009805
HS;S;30000; 0.0176167
HS;S;40000; 0.0215503
HS;S;50000; 0.0304457
HS;S;60000; 0.038423
HS;S;70000; 0.0428869
HS;S;80000; 0.0481325
HS;S;90000; 0.0535985
HS;SS;10000; 0.0040344
HS;SS;20000; 0.0113444
HS;SS;30000; 0.0165155
HS;SS;40000; 0.0222763
HS;SS;50000; 0.0278155
HS;SS;60000; 0.0344605
HS;SS;70000; 0.0368604
HS;SS;80000; 0.0492487
HS;SS;90000; 0.0560158
HS;US;10000; 0.0041207
HS;US;20000; 0.0109683
HS;US;30000; 0.0153482
HS;US;40000; 0.0199555
HS;US;50000; 0.0279954
HS;US;60000; 0.0319556
HS;US;70000; 0.0385571
HS;US;80000; 0.041651
HS;US;90000; 0.0510982
HS;RS;10000; 0.0056452
HS;RS;20000; 0.0107674
HS;RS;30000; 0.0179553
HS;RS;40000; 0.0235881
HS;RS;50000; 0.0253648
HS;RS;60000; 0.0359161
HS;RS;70000; 0.040777
HS;RS;80000; 0.0478866
HS;RS;90000; 0.0561949
